sample_id,method,order,runtime_status,prediction,gold_answers,answer_exact,answer_token_f1,supporting_f1,triple_event_f1,graph_triple_f1,verifier_precision,verifier_recall,verifier_f1,verifier_micro_precision,verifier_micro_recall,verifier_micro_f1,verifier_candidate_count,plan_valid,plan_relation_recall,early_latent_evidence_recall,callback_hit_rate,deferred_to_promoted,cross_window_deferred_to_promoted,cross_window_deferred_promoted_count,non_early_deferred_promoted_count,windows_processed,window_word_budget,streaming_protocol_valid,model_calls,input_tokens,output_tokens,latency_ms,error_type,error
dev_7580,v5_predicted,original,ANSWERED,Robert de Bohun,"[""Humphrey with the Beard""]",False,0.0,,,,,,,,,,,True,,,1.0,0.16666666666666666,0.0,0,1,2,,True,10,23718,831,298180.6249790243,,
dev_7720,v5_predicted,original,ANSWERED,The Trump Organization,"[""Elizabeth Trump & Son"", ""Trump Organization"", ""The Trump Organization""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,4,9020,149,14389.98630095739,,
dev_7759,v5_predicted,original,ANSWERED,"Belphegor, Phantom Of The Louvre","[""Belphegor, Phantom of the Louvre"", ""Belphégor, le fantôme du Louvre"", ""Belphegor, Phantom Of The Louvre""]",True,1.0,,,,,,,,,,,True,,,1.0,1.0,0.0,0,1,2,,True,10,17063,876,412413.05785096483,,
dev_7845,v5_predicted,original,ANSWERED,A Lizard in a Woman's Skin,"[""A Lizard In A Woman'S Skin"", ""Lizard in a Woman's Skin"", ""A Lizard in a Woman's Skin"", ""Una lucertola con la pelle di donna""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,13247,540,183151.22201800114,,
dev_8289,v5_predicted,original,ANSWERED,Delhi,"[""Gujarat"", ""Dil"", ""Gujarati"", ""Gujarat State""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,15356,183,13869.20045298757,,
dev_8329,v5_predicted,original,ANSWERED,yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,1.0,0.6666666666666666,0.0,0,2,2,,True,13,14856,3744,455987.0031810133,,
dev_8501,v5_predicted,original,ANSWERED,"John II, Count of Avesnes","[""John II, Count of Holland"", ""John II""]",False,0.8000000000000002,,,,,,,,,,,True,,,0.5,0.0,0.0,0,0,2,,True,10,14384,700,17476.808901992626,,
dev_8525,v5_predicted,original,ANSWERED,No,"[""no""]",True,1.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,9,12151,666,169163.33979199408,,
dev_8759,v5_predicted,original,ANSWERED,Indian,"[""India"", ""British Raj"", ""direct rule in India"", ""British India"", ""Indian Empire"", ""Crown rule in India""]",False,0.6666666666666666,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,11070,493,19764.02542303549,,
dev_8792,v5_predicted,original,ANSWERED,yes,"[""yes""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,1,,True,5,8470,333,15095.902894972824,,
dev_8972,v5_predicted,original,ANSWERED,Aansoo Ban Gaye Phool,"[""Aansoo Ban Gaye Phool""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,18865,832,36425.74647703441,,
dev_9001,v5_predicted,original,ANSWERED,18 \text{ October } 1664,"[""18 October 1664""]",False,0.8571428571428571,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,16198,554,52175.60261703329,,
dev_9150,v5_predicted,original,ANSWERED,Lance Kerwin,"[""Kyla Brox""]",False,0.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,8,12046,2745,85692.20618298277,,
dev_9377,v5_predicted,original,ANSWERED,Scotland,"[""Scotland"", ""The Kingdom of Scotland"", ""Kingdom of Scotland"", ""Scottish""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,10313,178,11156.142367981374,,
dev_9538,v5_predicted,original,ANSWERED,Neither,"[""Cry Of The Hunted"", ""Cry of the Hunted""]",False,0.0,,,,,,,,,,,True,,,1.0,0.5,0.0,0,1,2,,True,10,22557,888,80816.24129100237,,
dev_964,v5_predicted,original,ANSWERED,Paolo Marcellini,"[""Dean Evans""]",False,0.0,,,,,,,,,,,True,,,1.0,0.0,0.0,0,0,2,,True,8,11346,1234,315321.5676469845,,
dev_9646,v5_predicted,original,ANSWERED,Paris,"[""Paris, France"", ""City of Light"", ""Paris""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,6,11906,346,15853.572616004385,,
dev_9812,v5_predicted,original,ANSWERED,Cannot be determined,"[""Poison Friends""]",False,0.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,8,13176,1934,94739.1696079867,,
dev_9926,v5_predicted,original,ANSWERED,I Bury The Living,"[""I Bury The Living"", ""I Bury the Living""]",True,1.0,,,,,,,,,,,True,,,0.0,0.0,0.0,0,0,2,,True,7,14685,870,28012.51884800149,,
